     11.25    141.93    170.32    821.43    985.72
     11.50    148.17    177.80    876.58   1051.90
     11.75    154.58    185.50    934.39   1121.27
     12.00    161.18    193.41    995.00   1194.00
     12.25    167.97    201.56   1058.53   1270.23
     12.50    174.97    209.96   1125.13   1350.15
     12.75    182.18    218.62   1194.95   1433.94
     13.00    189.62    227.55   1268.17   1521.80
     13.25    197.31    236.77   1344.96   1613.95
     13.50    205.26    246.31   1425.51   1710.61
     13.75    213.47    256.17   1510.04   1812.04
     14.00    221.98    266.37   1598.73   1918.48
     14.25    230.78    276.93   1691.80   2030.15
     14.50    239.89    287.87   1789.43   2147.32
     14.75    249.32    299.18   1891.85   2270.22
     15.00    259.09    310.90   1999.27   2399.13
     15.25    269.20    323.05   2111.99   2534.38
     15.50    279.70    335.65   2230.33   2676.40
     15.75    290.62    348.74   2354.73   2825.68
     16.00    301.99    362.39   2485.70   2982.84
