     11.00    135.86    163.04    768.83    922.60
     12.33    170.28    204.33   1080.38   1296.45
     13.67    210.70    252.85   1481.41   1777.69
     15.00    259.09    310.90   1999.27   2399.13
     16.00    301.99    362.39   2485.70   2982.84
